root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT3G04800	0	0	1	1	0	0	0	0	0	0	0	0	0
AT2G45950;AT3G61415	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G56780	0	0	0	0	0	0	1	1	1	0	0	1	0
AT5G63010	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G08760	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G47790	0	1	0	0	0	0	0	1	0	1	0	0	0
AT3G52310	1	0	0	1	0	0	0	0	0	0	0	0	0
AT3G56270	0	0	1	1	0	1	0	0	0	1	0	0	1
AT5G22650	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G04180	1	1	0	0	0	1	1	1	1	0	0	1	0
AT5G59910	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G59400	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G01930	0	0	1	1	1	1	1	1	1	0	0	1	1
AT5G55560	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33130	0	0	0	0	0	0	0	0	1	0	0	0	1
AT3G14690	1	0	1	0	1	1	1	1	0	0	1	1	1
AT2G41990	0	0	1	1	1	1	0	0	1	0	0	0	1
