AT1G12850,261201_at
AT1G12860,261196_at
AT1G12880,261212_at
AT1G12900,261197_at
AT1G12910,261202_at
AT1G12920;AT3G26618,261204_s_at
AT1G12930,261208_at
AT1G12940,261198_at
AT1G12950,261199_at
AT1G12960,261200_at
AT1G12970,261213_at
AT1G12990,262768_at
AT1G13000,262775_at
AT1G13020,262776_at
AT1G13030,262777_at
AT1G13040,257465_at
AT1G13050,262778_at
AT1G13070,262779_at
AT1G13080,262826_at
AT1G13090,262780_at
AT1G13100,262827_at
AT1G13110,262793_at
AT1G13120,262794_at
AT1G13130,262795_at
AT1G13140,262764_at
AT1G13150,262765_at
AT1G13160,262766_at
AT1G13170,262767_at
AT1G13180,262769_at
AT1G13190,262770_at
AT1G13195,262782_at
AT1G13200,262771_at
AT1G13210,262772_at
AT1G13220,262773_at
AT1G13230,262774_at
AT1G13250,259358_at
AT1G13260,259364_at
AT1G13270,259363_at
AT1G13280,259366_at
AT1G13290,257515_at
AT1G13300,259365_at
AT1G13310,259360_at
AT1G13320,259407_at
AT1G13330,259409_at
AT1G13340,259410_at
AT1G13350;AT3G53640,259362_s_at
AT1G13370,259387_at
AT1G13370;AT1G75600;AT1G75610,262979_s_at
AT1G13380,259357_at
AT1G13400,259386_at
AT1G13410,259411_at
AT1G13420,259388_at
AT1G13430;AT2G14920,266584_s_at
AT1G13440,259361_at
AT1G13450,259412_at
AT1G13460,259359_at
AT1G13470,259385_at
AT1G13540,256103_at
AT1G13560,256134_at
AT1G13570,256133_at
AT1G13580,256157_at
AT1G13590,256158_at
AT1G13600,256131_at
AT1G13610,256132_at
AT1G13630,256095_at
AT1G13640,256071_at
AT1G13650,256096_at
AT1G13670,256097_at
AT1G13680,256102_at
AT1G13690,256068_at
AT1G13700,256098_at
AT1G13710,256099_at
AT1G13730,256070_at
AT1G13740,256069_at
AT1G13750,256100_at
AT1G13790,259448_at
AT1G13800,259449_at
AT1G13810,259422_at
AT1G13830,259424_at
AT1G13860;AT2G03480,265715_s_at
AT1G13870,259450_at
AT1G13880,259423_at
AT1G13890,259451_at
AT1G13900,259420_at
AT1G13910,259421_at
AT1G13920,262662_at
AT1G13930,262609_at
AT1G13940,262663_at
AT1G13950,262615_at
AT1G13960,262613_at
AT1G13970,262664_at
AT1G13980,262614_at
AT1G13990,262607_at
AT1G14000,262660_at
AT1G14020,262647_at
AT1G14030,262648_at
AT1G14040,262649_at
AT1G14060,262611_at
AT1G14070,262665_at
AT1G14080,262666_at
AT1G14090,262650_at
AT1G14100,262651_at
AT1G14110,262652_at
AT1G14120,262608_at
AT1G14130,262653_at
AT1G14140,262610_at
AT1G14150,262612_at
AT1G14180,262654_at
AT1G14190;AT1G14185,262655_s_at
AT1G14200,262656_at
AT1G14210,262657_at
AT1G14220,262658_at
